,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,cluster,cluster_predicted,dbscan_cluster
0,Si,Si,No,No,No,Si,1,2,0
1,Si,Si,No,No,No,Si,1,2,0
2,Si,Si,No,No,No,Si,1,2,0
3,No,Si,No,No,No,Si,1,1,1
4,Si,Si,No,No,No,Si,1,2,0
5,Si,Si,No,Si,No,Si,2,0,2
6,Si,Si,No,Si,No,Si,2,0,2
7,Si,Si,No,No,No,Si,1,2,0
8,Si,Si,No,Si,No,Si,2,0,2
9,Si,Si,No,Si,No,Si,2,0,2
10,No,Si,No,No,No,Si,1,1,1
11,Si,Si,No,No,No,Si,1,2,0
12,No,Si,No,No,No,Si,1,1,1
13,Si,Si,No,No,No,Si,1,2,0
14,Si,Si,No,No,No,Si,1,2,0
15,No,Si,No,Si,Si,Si,0,1,3
16,Si,Si,No,No,No,Si,1,2,0
17,No,Si,No,No,No,Si,1,1,1
18,Si,Si,No,No,Si,Si,0,2,4
19,Si,Si,No,Si,Si,Si,0,0,5
20,Si,No,No,No,No,Si,1,2,6
21,Si,Si,No,No,No,Si,1,2,0
22,Si,Si,No,Si,No,Si,2,0,2
23,Si,Si,Si,Si,Si,Si,0,0,7
24,Si,Si,No,Si,No,Si,2,0,2
25,Si,Si,Si,No,No,No,1,2,8
26,Si,Si,No,Si,No,Si,2,0,2
27,Si,Si,No,Si,No,Si,2,0,2
28,Si,Si,No,No,No,Si,1,2,0
29,Si,Si,No,Si,No,Si,2,0,2
30,Si,Si,No,No,No,Si,1,2,0
31,No,Si,No,No,No,Si,1,1,1
32,No,Si,No,Si,No,Si,2,1,9
33,Si,Si,No,No,No,Si,1,2,0
34,Si,Si,No,Si,No,Si,2,0,2
35,Si,Si,No,No,No,Si,1,2,0
36,No,Si,No,Si,No,Si,2,1,9
37,Si,Si,No,No,No,Si,1,2,0
38,Si,Si,No,No,No,Si,1,2,0
39,No,Si,Si,No,No,No,1,1,10
40,No,Si,Si,No,No,Si,1,1,11
41,Si,Si,No,No,No,Si,1,2,0
42,Si,Si,No,No,No,Si,1,2,0
43,Si,Si,No,No,No,Si,1,2,0
44,Si,Si,No,Si,No,Si,2,0,2
45,Si,Si,No,Si,No,Si,2,0,2
46,Si,Si,Si,No,No,Si,1,2,12
47,Si,Si,Si,No,No,No,1,2,8
48,Si,Si,No,No,No,Si,1,2,0
49,Si,Si,No,No,No,Si,1,2,0
50,Si,Si,No,No,No,Si,1,2,0
51,Si,Si,No,No,Si,Si,0,2,4
52,Si,Si,No,No,Si,Si,0,2,4
53,Si,Si,No,No,Si,Si,0,2,4
54,Si,Si,No,No,Si,Si,0,2,4
55,No,Si,No,No,Si,Si,0,1,13
56,Si,Si,No,No,Si,Si,0,2,4
57,Si,Si,No,No,Si,No,0,2,14
58,Si,Si,No,No,Si,Si,0,2,4
59,Si,Si,No,No,No,Si,1,2,0
60,Si,Si,No,No,Si,Si,0,2,4
61,Si,Si,No,No,Si,Si,0,2,4
62,Si,Si,No,No,Si,Si,0,2,4
63,Si,Si,No,No,Si,Si,0,2,4
64,Si,Si,Si,No,Si,Si,0,2,15
65,No,Si,No,Si,Si,Si,0,1,3
66,Si,Si,No,No,Si,Si,0,2,4
67,Si,Si,No,Si,Si,Si,0,0,5
68,Si,Si,No,No,Si,Si,0,2,4
69,Si,Si,No,No,Si,Si,0,2,4
70,Si,Si,Si,Si,Si,Si,0,0,7
71,Si,Si,No,Si,Si,Si,0,0,5
72,Si,Si,Si,Si,Si,Si,0,0,7
73,Si,Si,No,Si,Si,Si,0,0,5
74,Si,Si,No,Si,Si,Si,0,0,5
75,Si,Si,Si,No,Si,No,0,2,16
76,Si,Si,No,No,Si,Si,0,2,4
77,Si,Si,No,No,Si,Si,0,2,4
78,Si,Si,Si,Si,Si,Si,0,0,7
79,Si,Si,No,No,Si,Si,0,2,4
80,Si,Si,No,Si,Si,Si,0,0,5
81,No,Si,No,Si,Si,Si,0,1,3
82,Si,Si,Si,No,Si,Si,0,2,15
83,Si,Si,No,No,No,Si,1,2,0
84,No,Si,No,No,No,No,1,1,17
85,Si,Si,No,No,Si,Si,0,2,4
86,Si,No,No,No,No,No,1,2,18
87,Si,Si,No,Si,Si,Si,0,0,5
88,No,Si,No,Si,Si,Si,0,1,3
89,No,Si,No,Si,No,No,2,1,19
90,Si,Si,Si,No,No,Si,1,2,12
91,Si,Si,No,Si,No,Si,2,0,2
92,Si,Si,Si,Si,No,Si,2,0,20
93,Si,Si,Si,No,No,Si,1,2,12
94,No,Si,No,Si,Si,Si,0,1,3
95,Si,Si,No,Si,Si,Si,0,0,5
96,Si,Si,Si,Si,Si,Si,0,0,7
97,Si,Si,No,No,Si,Si,0,2,4
98,Si,Si,No,No,No,Si,1,2,0
99,Si,Si,No,No,No,Si,1,2,0
100,No,Si,No,Si,Si,Si,0,1,3
101,Si,Si,Si,No,No,Si,1,2,12
102,No,Si,No,No,No,Si,1,1,1
103,No,Si,No,Si,No,Si,2,1,9
104,Si,Si,No,Si,No,Si,2,0,2
105,Si,Si,No,Si,No,Si,2,0,2
106,No,Si,No,Si,No,Si,2,1,9
107,No,Si,No,Si,No,Si,2,1,9
108,No,Si,No,No,No,Si,1,1,1
109,No,Si,No,No,Si,Si,0,1,13
110,No,Si,No,No,No,Si,1,1,1
111,No,Si,No,Si,No,Si,2,1,9
112,Si,Si,Si,Si,No,Si,2,0,20
113,Si,Si,No,No,No,Si,1,2,0
114,No,Si,No,Si,No,Si,2,1,9
115,Si,Si,No,No,No,Si,1,2,0
116,No,Si,No,No,Si,Si,0,1,13
117,Si,Si,No,Si,Si,Si,0,0,5
118,Si,Si,No,Si,No,Si,2,0,2
119,Si,Si,Si,Si,No,Si,2,0,20
120,No,No,Si,No,No,No,1,1,21
121,Si,Si,No,No,No,Si,1,2,0
122,Si,Si,No,No,No,Si,1,2,0
123,Si,Si,Si,Si,No,Si,2,0,20
124,No,Si,No,Si,Si,Si,0,1,3
125,Si,Si,No,Si,No,Si,2,0,2
126,Si,Si,Si,Si,No,Si,2,0,20
127,Si,Si,No,No,No,Si,1,2,0
128,No,Si,No,Si,No,Si,2,1,9
129,Si,Si,No,No,No,Si,1,2,0
130,Si,Si,No,No,No,Si,1,2,0
131,Si,Si,No,No,No,Si,1,2,0
132,Si,Si,No,No,No,Si,1,2,0
133,Si,Si,No,Si,No,Si,2,0,2
134,Si,Si,No,Si,No,Si,2,0,2
135,Si,Si,Si,No,No,Si,1,2,12
136,Si,Si,No,Si,No,Si,2,0,2
137,Si,Si,No,No,No,Si,1,2,0
138,Si,Si,No,No,No,Si,1,2,0
139,No,Si,No,No,No,Si,1,1,1
140,Si,Si,Si,Si,No,Si,2,0,20
141,Si,Si,Si,Si,No,Si,2,0,20
142,No,No,No,No,No,No,1,1,22
143,No,No,No,No,No,No,1,1,22
144,Si,Si,No,No,No,No,1,2,23
145,Si,Si,No,Si,Si,Si,0,0,5
146,Si,Si,No,Si,Si,Si,0,0,5
147,No,Si,No,No,No,No,1,1,17
148,No,Si,No,No,No,No,1,1,17
149,No,Si,No,Si,Si,Si,0,1,3
150,No,Si,No,Si,No,Si,2,1,9
151,No,Si,Si,No,No,Si,1,1,11
152,Si,Si,No,No,No,Si,1,2,0
153,Si,Si,No,No,Si,No,0,2,14
154,No,Si,No,No,No,Si,1,1,1
155,Si,Si,No,No,No,No,1,2,23
156,Si,Si,No,No,Si,No,0,2,14
157,Si,Si,No,Si,Si,Si,0,0,5
158,No,Si,No,No,Si,No,0,1,24
159,Si,Si,No,Si,No,Si,2,0,2
160,Si,Si,No,No,No,No,1,2,23
161,Si,Si,No,No,No,Si,1,2,0
162,No,Si,No,No,Si,Si,0,1,13
163,No,Si,No,Si,Si,Si,0,1,3
164,Si,Si,No,Si,Si,Si,0,0,5
165,No,Si,Si,Si,Si,Si,0,1,25
166,No,Si,No,No,Si,Si,0,1,13
167,No,Si,Si,Si,Si,Si,0,1,25
168,No,Si,No,Si,Si,Si,0,1,3
169,Si,No,No,No,Si,Si,0,2,26
170,Si,Si,No,Si,Si,Si,0,0,5
171,Si,Si,No,No,Si,Si,0,2,4
172,No,Si,No,No,Si,Si,0,1,13
173,Si,Si,No,No,Si,Si,0,2,4
174,No,Si,Si,No,Si,No,0,1,27
175,No,Si,No,Si,Si,Si,0,1,3
176,No,Si,No,Si,Si,Si,0,1,3
177,Si,Si,No,No,Si,Si,0,2,4
178,Si,Si,Si,Si,Si,Si,0,0,7
179,Si,Si,Si,No,No,Si,1,2,12
180,Si,Si,No,Si,No,Si,2,0,2
181,Si,Si,No,No,No,Si,1,2,0
182,Si,Si,No,No,No,Si,1,2,0
183,Si,Si,No,No,Si,Si,0,2,4
184,No,Si,No,No,Si,Si,0,1,13
185,Si,Si,No,No,Si,Si,0,2,4
186,Si,Si,No,No,Si,Si,0,2,4
187,No,Si,No,Si,No,Si,2,1,9
188,Si,Si,No,Si,Si,Si,0,0,5
189,Si,Si,No,No,No,Si,1,2,0
190,Si,Si,No,Si,No,Si,2,0,2
191,No,Si,No,No,No,Si,1,1,1
192,Si,Si,No,Si,No,Si,2,0,2
193,No,Si,No,Si,No,Si,2,1,9
194,Si,Si,No,No,No,Si,1,2,0
195,No,Si,No,Si,No,Si,2,1,9
196,No,Si,No,No,No,Si,1,1,1
197,Si,Si,No,Si,No,Si,2,0,2
198,Si,Si,No,Si,No,Si,2,0,2
199,No,Si,No,No,No,Si,1,1,1
200,Si,Si,No,Si,No,Si,2,0,2
201,No,Si,No,No,Si,Si,0,1,13
202,Si,Si,No,No,No,Si,1,2,0
203,Si,Si,Si,No,No,Si,1,2,12
204,Si,Si,No,Si,No,Si,2,0,2
205,Si,No,No,No,No,Si,1,2,6
206,Si,Si,No,Si,No,Si,2,0,2
207,No,No,Si,No,Si,No,0,1,28
208,Si,Si,No,Si,No,Si,2,0,2
209,Si,Si,No,No,No,Si,1,2,0
210,Si,Si,No,Si,No,Si,2,0,2
211,Si,Si,No,Si,No,Si,2,0,2
212,Si,Si,No,No,No,Si,1,2,0
213,Si,Si,No,No,No,Si,1,2,0
214,Si,Si,No,No,No,Si,1,2,0
215,Si,Si,No,Si,No,Si,2,0,2
216,No,Si,No,Si,No,Si,2,1,9
217,Si,Si,No,No,No,Si,1,2,0
218,Si,Si,No,No,No,Si,1,2,0
219,Si,Si,Si,Si,Si,No,0,0,29
220,Si,Si,Si,No,No,Si,1,2,12
221,Si,Si,No,No,No,Si,1,2,0
222,No,Si,No,No,Si,Si,0,1,13
223,No,Si,No,No,No,Si,1,1,1
224,No,Si,No,No,No,Si,1,1,1
225,No,Si,No,Si,No,Si,2,1,9
226,No,No,Si,No,Si,No,0,1,28
227,Si,Si,No,Si,No,Si,2,0,2
228,Si,Si,No,Si,Si,Si,0,0,5
229,Si,Si,No,No,No,Si,1,2,0
230,No,Si,No,Si,No,Si,2,1,9
231,Si,Si,No,Si,No,Si,2,0,2
232,No,Si,No,No,No,Si,1,1,1
233,Si,Si,No,No,No,Si,1,2,0
234,Si,Si,No,No,No,Si,1,2,0
235,Si,Si,No,Si,No,Si,2,0,2
236,Si,Si,No,No,No,Si,1,2,0
237,Si,Si,No,Si,No,Si,2,0,2
238,Si,Si,No,No,No,Si,1,2,0
239,No,Si,No,No,No,Si,1,1,1
240,Si,No,No,No,Si,Si,0,2,26
241,Si,Si,No,Si,Si,Si,0,0,5
242,Si,Si,No,Si,Si,Si,0,0,5
243,Si,Si,No,No,Si,Si,0,2,4
244,Si,Si,No,No,Si,Si,0,2,4
245,Si,Si,No,No,Si,Si,0,2,4
246,Si,Si,No,No,No,Si,1,2,0
247,Si,Si,No,No,Si,Si,0,2,4
248,Si,Si,No,No,No,No,1,2,23
249,Si,Si,No,No,Si,Si,0,2,4
250,Si,Si,No,No,No,No,1,2,23
251,Si,Si,No,No,Si,Si,0,2,4
252,Si,Si,No,No,No,Si,1,2,0
253,Si,Si,No,No,Si,Si,0,2,4
254,Si,Si,No,No,Si,Si,0,2,4
255,Si,Si,No,No,Si,Si,0,2,4
256,Si,Si,No,No,Si,Si,0,2,4
257,Si,Si,No,No,Si,No,0,2,14
258,Si,Si,Si,Si,Si,Si,0,0,7
259,Si,Si,No,No,Si,Si,0,2,4
260,No,Si,No,Si,Si,Si,0,1,3
261,Si,Si,No,No,Si,No,0,2,14
262,No,Si,No,No,No,Si,1,1,1
263,No,Si,No,No,Si,No,0,1,24
264,Si,Si,No,No,Si,Si,0,2,4
265,Si,Si,No,Si,Si,Si,0,0,5
266,Si,Si,No,Si,Si,Si,0,0,5
267,Si,Si,No,Si,Si,Si,0,0,5
268,No,Si,Si,No,Si,Si,0,1,30
269,No,Si,No,No,Si,Si,0,1,13
270,Si,Si,No,No,Si,Si,0,2,4
271,No,Si,No,No,No,No,1,1,17
272,Si,Si,No,Si,Si,Si,0,0,5
273,No,Si,Si,Si,Si,Si,0,1,25
274,Si,Si,No,No,Si,Si,0,2,4
275,Si,Si,No,No,Si,Si,0,2,4
276,No,Si,No,Si,Si,Si,0,1,3
277,Si,Si,No,No,Si,Si,0,2,4
278,No,Si,No,No,Si,No,0,1,24
279,No,No,No,Si,No,No,2,1,31
280,Si,Si,Si,Si,Si,Si,0,0,7
281,No,Si,Si,No,Si,No,0,1,27
282,Si,Si,No,No,Si,Si,0,2,4
283,No,Si,No,Si,Si,No,0,1,32
284,Si,Si,No,No,No,No,1,2,23
285,Si,Si,No,Si,No,Si,2,0,2
286,Si,Si,No,No,No,Si,1,2,0
287,Si,Si,No,Si,No,Si,2,0,2
288,Si,Si,No,No,Si,Si,0,2,4
289,Si,Si,No,No,No,Si,1,2,0
290,No,Si,No,No,Si,Si,0,1,13
291,No,Si,No,No,No,Si,1,1,1
292,Si,Si,No,No,Si,Si,0,2,4
293,No,Si,No,No,No,Si,1,1,1
294,Si,Si,No,No,No,Si,1,2,0
295,Si,No,No,No,No,No,1,2,18
296,No,Si,No,No,No,Si,1,1,1
297,No,Si,No,No,No,Si,1,1,1
298,Si,Si,No,No,No,Si,1,2,0
299,Si,Si,No,No,No,Si,1,2,0
300,Si,Si,No,Si,No,Si,2,0,2
301,Si,No,No,Si,No,Si,2,0,33
302,No,Si,No,Si,Si,Si,0,1,3
303,No,Si,Si,No,No,Si,1,1,11
304,Si,Si,No,No,No,Si,1,2,0
305,Si,Si,No,No,No,Si,1,2,0
306,Si,Si,Si,No,No,Si,1,2,12
307,Si,Si,No,Si,No,Si,2,0,2
308,No,Si,No,No,No,Si,1,1,1
309,Si,Si,No,Si,No,Si,2,0,2
310,Si,Si,No,No,Si,Si,0,2,4
311,Si,Si,Si,Si,No,Si,2,0,20
312,Si,Si,Si,Si,No,Si,2,0,20
313,No,Si,No,No,No,Si,1,1,1
314,Si,Si,No,No,No,Si,1,2,0
315,Si,Si,No,Si,No,Si,2,0,2
316,Si,Si,No,No,No,Si,1,2,0
317,No,Si,No,Si,No,Si,2,1,9
318,Si,Si,No,Si,No,Si,2,0,2
319,No,Si,No,Si,No,Si,2,1,9
320,No,Si,No,No,No,Si,1,1,1
321,Si,Si,No,No,No,No,1,2,23
322,No,Si,No,Si,No,Si,2,1,9
323,No,Si,No,No,No,Si,1,1,1
324,Si,Si,Si,No,No,Si,1,2,12
325,Si,Si,No,No,No,Si,1,2,0
326,Si,Si,No,Si,No,Si,2,0,2
327,Si,Si,No,No,No,Si,1,2,0
328,No,Si,No,No,No,Si,1,1,1
329,Si,Si,Si,No,No,Si,1,2,12
330,No,Si,No,No,No,Si,1,1,1
331,Si,Si,No,No,No,Si,1,2,0
332,Si,Si,Si,No,No,Si,1,2,12
333,Si,Si,No,Si,No,Si,2,0,2
334,No,Si,No,No,No,Si,1,1,1
335,Si,Si,Si,No,No,Si,1,2,12
336,Si,Si,No,No,No,Si,1,2,0
337,Si,Si,No,No,No,Si,1,2,0
338,Si,Si,No,Si,Si,Si,0,0,5
339,Si,Si,No,No,Si,Si,0,2,4
340,Si,Si,No,Si,Si,Si,0,0,5
341,Si,Si,No,No,Si,Si,0,2,4
342,Si,Si,No,Si,Si,Si,0,0,5
343,No,Si,No,No,Si,Si,0,1,13
344,Si,Si,No,No,Si,No,0,2,14
345,Si,Si,Si,No,Si,Si,0,2,15
346,Si,Si,No,No,No,Si,1,2,0
347,Si,Si,No,No,Si,Si,0,2,4
348,Si,Si,No,No,No,No,1,2,23
349,Si,Si,No,No,Si,Si,0,2,4
350,No,Si,No,No,Si,Si,0,1,13
351,Si,Si,No,No,Si,Si,0,2,4
352,Si,Si,No,No,Si,Si,0,2,4
353,No,Si,No,Si,Si,Si,0,1,3
354,No,Si,No,No,Si,Si,0,1,13
355,Si,Si,No,No,Si,Si,0,2,4
356,No,No,Si,No,Si,No,0,1,28
357,Si,No,No,No,No,No,1,2,18
358,No,Si,No,Si,No,Si,2,1,9
359,Si,Si,No,Si,Si,Si,0,0,5
360,Si,Si,No,No,Si,Si,0,2,4
361,No,Si,No,No,Si,Si,0,1,13
362,No,Si,No,No,Si,No,0,1,24
363,Si,Si,No,No,No,Si,1,2,0
364,No,Si,No,No,Si,No,0,1,24
365,Si,Si,No,Si,No,Si,2,0,2
366,Si,Si,No,Si,Si,Si,0,0,5
367,Si,Si,Si,No,Si,No,0,2,16
368,No,Si,No,No,Si,No,0,1,24
369,Si,Si,No,Si,Si,Si,0,0,5
370,Si,Si,No,No,No,No,1,2,23
371,Si,Si,No,No,Si,Si,0,2,4
372,No,Si,No,No,Si,No,0,1,24
373,Si,No,No,No,Si,No,0,2,34
374,Si,Si,No,No,No,No,1,2,23
375,Si,Si,No,No,Si,Si,0,2,4
376,No,Si,No,No,No,Si,1,1,1
377,No,Si,No,No,Si,Si,0,1,13
378,No,Si,No,Si,No,Si,2,1,9
379,Si,Si,No,No,No,No,1,2,23
380,No,No,No,No,No,No,1,1,22
381,Si,Si,No,No,No,No,1,2,23
382,No,Si,No,No,No,Si,1,1,1
383,Si,Si,No,No,No,Si,1,2,0
384,Si,Si,Si,Si,No,Si,2,0,20
385,Si,Si,No,No,No,Si,1,2,0
386,Si,Si,No,No,No,Si,1,2,0
387,No,Si,No,Si,Si,Si,0,1,3
388,Si,Si,No,Si,No,Si,2,0,2
389,No,Si,No,No,No,Si,1,1,1
390,No,Si,No,No,No,Si,1,1,1
391,Si,Si,No,No,No,Si,1,2,0
392,Si,Si,No,Si,No,Si,2,0,2
393,No,Si,No,No,No,Si,1,1,1
394,Si,Si,No,No,No,Si,1,2,0
395,Si,Si,No,Si,Si,Si,0,0,5
396,Si,Si,No,No,No,Si,1,2,0
397,No,Si,No,Si,Si,Si,0,1,3
398,Si,Si,No,Si,Si,Si,0,0,5
399,Si,Si,No,No,No,Si,1,2,0
400,No,No,Si,No,No,No,1,1,21
401,Si,Si,No,No,No,Si,1,2,0
402,Si,Si,No,No,No,Si,1,2,0
403,Si,Si,No,No,No,Si,1,2,0
404,Si,Si,No,No,No,Si,1,2,0
405,Si,Si,No,No,Si,Si,0,2,4
406,Si,Si,No,Si,Si,Si,0,0,5
407,No,Si,No,No,No,Si,1,1,1
408,No,Si,No,No,No,Si,1,1,1
409,No,Si,No,No,No,Si,1,1,1
410,No,Si,Si,No,No,No,1,1,10
411,No,Si,No,No,No,Si,1,1,1
412,Si,Si,No,Si,No,Si,2,0,2
413,No,Si,Si,No,No,Si,1,1,11
414,Si,Si,No,No,No,Si,1,2,0
415,Si,Si,No,Si,No,Si,2,0,2
416,Si,Si,No,No,No,Si,1,2,0
417,Si,Si,No,No,No,Si,1,2,0
418,Si,Si,No,No,No,Si,1,2,0
419,Si,Si,No,Si,No,Si,2,0,2
420,Si,Si,No,Si,No,Si,2,0,2
421,Si,Si,No,Si,No,Si,2,0,2
422,No,Si,No,Si,No,Si,2,1,9
423,Si,Si,No,No,No,Si,1,2,0
424,No,Si,No,No,No,Si,1,1,1
425,Si,Si,Si,No,No,Si,1,2,12
426,Si,Si,No,No,Si,Si,0,2,4
427,Si,Si,No,Si,No,Si,2,0,2
428,Si,Si,No,No,No,Si,1,2,0
429,Si,Si,No,No,No,Si,1,2,0
430,Si,Si,No,No,No,Si,1,2,0
431,Si,Si,No,No,No,Si,1,2,0
432,No,Si,No,No,No,Si,1,1,1
433,Si,Si,Si,Si,No,Si,2,0,20
434,Si,Si,No,Si,No,Si,2,0,2
435,Si,Si,No,No,No,Si,1,2,0
436,Si,Si,No,No,No,Si,1,2,0
437,Si,Si,Si,No,No,Si,1,2,12
438,Si,Si,No,Si,No,Si,2,0,2
439,No,Si,No,Si,No,Si,2,1,9
440,Si,Si,No,No,No,Si,1,2,0
441,Si,Si,No,Si,No,Si,2,0,2
442,No,Si,No,No,No,No,1,1,17
443,No,Si,No,No,No,No,1,1,17
444,Si,Si,No,No,No,Si,1,2,0
445,Si,Si,No,No,No,Si,1,2,0
446,Si,Si,No,Si,No,Si,2,0,2
447,Si,Si,No,No,No,Si,1,2,0
448,Si,Si,Si,No,No,Si,1,2,12
449,Si,Si,No,No,No,Si,1,2,0
450,Si,Si,Si,Si,No,Si,2,0,20
451,No,Si,No,No,Si,Si,0,1,13
452,Si,Si,No,Si,Si,Si,0,0,5
453,Si,Si,No,No,Si,Si,0,2,4
454,Si,Si,No,No,Si,Si,0,2,4
455,Si,Si,No,Si,Si,Si,0,0,5
456,No,No,No,No,No,No,1,1,22
457,Si,Si,No,Si,Si,Si,0,0,5
458,Si,Si,No,No,Si,Si,0,2,4
459,No,Si,No,No,Si,No,0,1,24
460,Si,No,No,No,No,No,1,2,18
461,Si,Si,Si,Si,Si,Si,0,0,7
462,No,Si,No,No,Si,Si,0,1,13
463,No,Si,No,No,Si,Si,0,1,13
464,No,Si,No,No,Si,No,0,1,24
465,No,Si,No,No,Si,No,0,1,24
466,Si,Si,No,No,Si,Si,0,2,4
467,Si,Si,No,No,Si,Si,0,2,4
468,Si,Si,No,No,No,Si,1,2,0
469,Si,Si,No,No,No,Si,1,2,0
470,Si,Si,No,Si,No,Si,2,0,2
471,Si,Si,No,Si,Si,Si,0,0,5
472,Si,Si,No,No,Si,Si,0,2,4
473,Si,Si,No,Si,No,Si,2,0,2
474,Si,Si,No,Si,No,Si,2,0,2
475,Si,Si,No,Si,No,Si,2,0,2
476,Si,Si,No,Si,Si,Si,0,0,5
477,Si,Si,No,Si,Si,Si,0,0,5
478,Si,Si,No,Si,Si,Si,0,0,5
479,Si,Si,No,No,Si,Si,0,2,4
480,Si,Si,No,No,Si,Si,0,2,4
481,Si,No,No,No,No,Si,1,2,6
482,No,Si,No,No,No,No,1,1,17
483,No,Si,No,Si,Si,Si,0,1,3
484,Si,Si,No,Si,Si,Si,0,0,5
485,Si,Si,No,No,No,No,1,2,23
486,Si,Si,No,Si,Si,No,0,0,35
487,Si,Si,No,Si,Si,Si,0,0,5
488,Si,Si,Si,Si,No,Si,2,0,20
489,No,Si,No,No,No,Si,1,1,1
490,Si,Si,No,No,No,Si,1,2,0
491,No,Si,No,No,No,Si,1,1,1
492,Si,Si,Si,Si,No,Si,2,0,20
493,Si,Si,No,No,No,Si,1,2,0
494,Si,Si,No,No,Si,Si,0,2,4
495,Si,Si,No,Si,Si,Si,0,0,5
496,Si,Si,No,No,Si,Si,0,2,4
497,Si,Si,No,Si,No,Si,2,0,2
498,Si,Si,Si,No,No,Si,1,2,12
499,Si,Si,No,Si,No,Si,2,0,2
500,Si,Si,No,No,No,Si,1,2,0
501,No,Si,No,No,No,Si,1,1,1
502,Si,Si,No,No,No,Si,1,2,0
503,No,Si,No,No,No,Si,1,1,1
504,Si,Si,No,No,No,Si,1,2,0
505,Si,Si,No,No,No,Si,1,2,0
506,Si,Si,No,Si,No,Si,2,0,2
507,Si,Si,No,Si,No,Si,2,0,2
508,Si,Si,Si,No,No,No,1,2,8
509,Si,Si,No,Si,No,Si,2,0,2
510,Si,Si,No,Si,No,Si,2,0,2
511,Si,Si,No,Si,No,Si,2,0,2
512,Si,Si,No,Si,No,Si,2,0,2
513,No,No,Si,No,No,No,1,1,21
514,Si,Si,No,Si,No,Si,2,0,2
515,No,Si,Si,Si,No,Si,2,1,36
516,Si,Si,No,Si,No,Si,2,0,2
517,No,Si,Si,No,No,Si,1,1,11
518,Si,Si,Si,Si,No,Si,2,0,20
519,No,No,Si,No,Si,Si,0,1,37
520,Si,Si,Si,Si,No,Si,2,0,20
521,Si,Si,No,No,No,Si,1,2,0
522,Si,Si,No,No,No,Si,1,2,0
523,Si,Si,No,No,Si,Si,0,2,4
524,Si,Si,No,Si,No,Si,2,0,2
525,Si,Si,No,No,Si,Si,0,2,4
526,No,Si,No,Si,No,Si,2,1,9
527,Si,Si,Si,No,No,Si,1,2,12
528,Si,Si,No,No,No,Si,1,2,0
529,No,Si,No,No,No,Si,1,1,1
530,Si,Si,No,No,No,Si,1,2,0
531,Si,Si,No,No,No,Si,1,2,0
532,Si,Si,No,Si,No,Si,2,0,2
533,Si,Si,No,No,No,Si,1,2,0
534,Si,Si,No,No,No,No,1,2,23
535,No,Si,No,No,Si,Si,0,1,13
536,Si,Si,No,No,Si,Si,0,2,4
537,Si,Si,No,Si,Si,Si,0,0,5
538,Si,Si,No,No,Si,Si,0,2,4
539,Si,Si,No,No,Si,No,0,2,14
540,No,Si,No,Si,No,No,2,1,19
541,Si,Si,No,No,Si,Si,0,2,4
542,Si,Si,No,Si,Si,Si,0,0,5
543,No,Si,No,No,No,No,1,1,17
544,Si,Si,Si,Si,No,Si,2,0,20
545,Si,Si,No,No,Si,Si,0,2,4
546,Si,Si,No,No,Si,Si,0,2,4
547,Si,Si,No,Si,No,Si,2,0,2
548,No,Si,Si,No,No,No,1,1,10
549,Si,Si,No,No,Si,Si,0,2,4
550,No,Si,No,No,No,Si,1,1,1
551,Si,Si,Si,Si,Si,Si,0,0,7
552,Si,Si,No,No,No,No,1,2,23
553,Si,Si,No,Si,Si,Si,0,0,5
554,No,Si,No,Si,Si,Si,0,1,3
555,Si,Si,No,No,Si,Si,0,2,4
556,Si,Si,Si,No,Si,No,0,2,16
557,Si,Si,No,Si,Si,Si,0,0,5
558,Si,Si,No,No,Si,Si,0,2,4
559,Si,Si,No,Si,Si,Si,0,0,5
560,Si,Si,No,No,Si,Si,0,2,4
561,Si,Si,No,No,Si,Si,0,2,4
562,Si,Si,No,No,Si,Si,0,2,4
563,No,Si,No,No,Si,Si,0,1,13
564,Si,Si,Si,No,Si,Si,0,2,15
565,No,Si,No,No,Si,Si,0,1,13
566,Si,Si,No,No,Si,Si,0,2,4
567,No,Si,No,No,No,No,1,1,17
568,Si,Si,No,No,No,Si,1,2,0
569,Si,Si,No,Si,Si,No,0,0,35
570,Si,Si,No,No,Si,Si,0,2,4
571,Si,Si,No,No,Si,Si,0,2,4
572,No,Si,No,No,Si,No,0,1,24
573,Si,Si,No,No,Si,Si,0,2,4
574,No,Si,No,Si,No,Si,2,1,9
575,Si,Si,No,No,No,Si,1,2,0
576,No,Si,Si,No,Si,Si,0,1,30
577,Si,Si,No,No,No,Si,1,2,0
578,Si,Si,Si,No,No,Si,1,2,12
579,Si,Si,No,No,No,Si,1,2,0
580,Si,Si,No,No,No,Si,1,2,0
581,Si,Si,No,Si,No,Si,2,0,2
582,Si,Si,No,Si,No,Si,2,0,2
583,Si,Si,No,No,No,Si,1,2,0
584,Si,Si,No,Si,No,Si,2,0,2
585,Si,Si,No,No,No,Si,1,2,0
586,No,Si,No,Si,No,Si,2,1,9
587,Si,Si,No,No,No,Si,1,2,0
588,Si,Si,No,Si,No,Si,2,0,2
589,No,Si,No,No,No,Si,1,1,1
590,Si,Si,No,No,No,Si,1,2,0
591,No,Si,No,No,No,Si,1,1,1
